image_index,label,dataset,baseline_mse,baseline_psnr,baseline_ssim,model_mse,model_psnr,model_ssim
430,1,Clean,0.0,120.0,1.0,0.002986182638026289,25.24883633897883,0.9280631753466597
431,1,Clean,0.0,120.0,1.0,0.0077563910101972056,21.103403056672523,0.8819572115858635
432,2,Clean,0.0,120.0,1.0,0.027774535336945506,15.563531979960432,0.6097653741846317
433,8,Clean,0.0,120.0,1.0,0.023700169949643513,16.252485397313414,0.827689857771415
434,7,Clean,0.0,120.0,1.0,0.010800377390490903,19.66561068981181,0.8321955930585101
435,0,Clean,0.0,120.0,1.0,0.014343762730215611,18.433369073423002,0.8732662969104025
436,3,Clean,0.0,120.0,1.0,0.03307163713338896,14.805443058302181,0.7442251011322323
437,2,Clean,0.0,120.0,1.0,0.022079992522452956,16.560010780197395,0.7617344706988409
438,0,Clean,0.0,120.0,1.0,0.015513659045640662,18.092857575756028,0.8920392606523946
439,5,Clean,0.0,120.0,1.0,0.015147345283928722,18.19663474723769,0.8391767005069243
440,5,Clean,0.0,120.0,1.0,0.022425791481262808,16.49252220307099,0.814816109511521
441,1,Clean,0.0,120.0,1.0,0.006474118545027303,21.888193526659347,0.846751214919895
442,8,Clean,0.0,120.0,1.0,0.03756902892343822,14.25170030346322,0.6940772479429324
443,7,Clean,0.0,120.0,1.0,0.014382653039917525,18.421609961282527,0.8070924387705755
444,7,Clean,0.0,120.0,1.0,0.014874156008110677,18.27567667711633,0.8442633988185919
445,9,Clean,0.0,120.0,1.0,0.012893771821422581,18.89620019682064,0.8166893713506798
446,3,Clean,0.0,120.0,1.0,0.024081398313301985,16.18318298887656,0.7671586498685148
447,7,Clean,0.0,120.0,1.0,0.011921841740200388,19.236566476310063,0.8272874573830472
448,8,Clean,0.0,120.0,1.0,0.0342982851788404,14.647275929596837,0.7018088876203469
449,1,Clean,0.0,120.0,1.0,0.007201398981005732,21.42583127080893,0.8480262875866812
450,1,Clean,0.0,120.0,1.0,0.007019789420538442,21.53675915629433,0.8616460270271141
451,2,Clean,0.0,120.0,1.0,0.012934160970627658,18.882617383927432,0.8130379383779185
452,3,Clean,0.0,120.0,1.0,0.028803573693206838,15.40553625471521,0.7314202211786982
453,0,Clean,0.0,120.0,1.0,0.0233702825889811,16.31336036170326,0.7768758032333105
454,3,Clean,0.0,120.0,1.0,0.029411453078566827,15.31483518559433,0.7564076208000694
455,9,Clean,0.0,120.0,1.0,0.019977452871742202,16.994598851923506,0.7297248804179146
456,7,Clean,0.0,120.0,1.0,0.015039907215203801,18.22754843002973,0.7937240104301038
457,6,Clean,0.0,120.0,1.0,0.01620678561058751,17.90303112851244,0.8072824119188304
458,1,Clean,0.0,120.0,1.0,0.00802581054537673,20.955110962927577,0.8631108818696542
459,5,Clean,0.0,120.0,1.0,0.01777990701359224,17.50070514658796,0.8299881634107692
460,0,Clean,0.0,120.0,1.0,0.020250364945404796,16.935671456667286,0.7608970079993537
